Type,Post Date,Description,Amount,Check or Slip #
DEBIT,10/19/2015,"ATM WITHDRAWAL                       001568  10/17391 EASTE",-20.00,
DEBIT,10/19/2015,"USA*SUNSTAR VENDING BROOKLYN NY              10/18",-5.00,
DEBIT,10/19/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            10/18",-3.27,
DEBIT,10/19/2015,"BLINK #620 8885664223 NY                     10/18",-16.69,
DEBIT,10/19/2015,"SQ *ELEVEN 36 GOSQ.COM Brooklyn NY           10/18",-1.75,
DEBIT,10/19/2015,"Online Payment 4948620758 To CAPITAL ONE 10/19",-391.01,
DEBIT,10/19/2015,"Online Payment 4948620767 To CAPITAL ONE 10/19",-188.27,
DEBIT,10/19/2015,"STARBUCKS #07704 BROOKL Brooklyn NY          10/19",-2.12,
DEBIT,10/19/2015,"STOP & SHOP 2586 BROOKLYN NY                 10/19 Purchase $1.62 Cash Back $20.00",-21.62,
DEBIT,10/19/2015,"UQ 34TH ST US0032 T NEW YORK NY      276194  10/19",-69.90,
DEBIT,10/19/2015,"DSW 34TH STREET NEW YORK NY                  10/19",-79.95,
DEBIT,10/19/2015,"MACY'S    WEST 34TH ST NEW YORK NY           10/19",-63.15,
DEBIT,10/16/2015,"SQ *LA COLOMBE - TRIBEC New York NY          10/16",-6.00,
DEBIT,10/15/2015,"575 LEX GARAGE LLC NEW YORK NY               10/13",-27.00,
DEBIT,10/15/2015,"THE HOME DEPOT 6957 BROOKLYN NY      194878  10/15",-27.12,
DEBIT,10/15/2015,"UQ 34TH ST US0032 T NEW YORK NY      518332  10/16",-79.90,
DEBIT,10/15/2015,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   151674  10/15",-78.38,
DEBIT,10/14/2015,"METROCARD VALUE @ PATH NEW YORK NY   814666  10/14",-6.50,
CREDIT,10/13/2015,"Online Transfer from SAV ...9608 transaction#: 4937164248",500.00,
DEBIT,10/13/2015,"MCDONALD'S F1742 RIVERHEAD NY                10/11",-1.09,
DEBIT,10/13/2015,"HM SVC CENTER I ASTORIA NY                   10/12",-20.07,
DEBIT,10/13/2015,"ATM WITHDRAWAL                       005189  10/13391 EASTE",-500.00,
DEBIT,10/08/2015,"THE HOME DEPOT 6957 BROOKLYN NY      990982  10/08",-4.96,
DEBIT,10/08/2015,"ATLANTIC GAS IN BROOKLYN NY                  10/08",-21.50,
DEBIT,10/07/2015,"NYCDOT PARKING METERS LONG IS CITY NY        10/06",-1.50,
DEBIT,10/07/2015,"CVS/PHARMACY #02 02435 NEW YORK NY   150330  10/06",-14.50,
DEBIT,10/07/2015,"TARGET T- 139 Flatbush Brooklyn NY           10/07",-8.26,
DEBIT,10/06/2015,"TRADER JOE'S # 558 BROOKLYN NY       308419  10/06",-30.14,
DEBIT,10/06/2015,"Online Payment 4924880633 To conEdison 10/06",-18.62,
DEBIT,10/06/2015,"Online Payment 4924880638 To National Grid 10/06",-17.64,
DEBIT,10/06/2015,"Duane Reade 4 COLUMBUS NEW YORK NY   820956  10/06",-2.19,
DEBIT,10/05/2015,"ROASTING PLANT COFFEE NEW YORK NY            10/02",-5.99,
DEBIT,10/05/2015,"MP WEST 20 LLC NEW YORK NY                   10/01",-24.00,
DEBIT,10/05/2015,"SUBWAY        03166600 NEW YORK NY           10/02",-5.99,
DEBIT,10/05/2015,"NYCDOT PARKING METERS LONG IS CITY NY        10/03",-4.00,
DEBIT,10/05/2015,"SQ *MARKER COFFEE Brooklyn NY                10/04",-7.00,
CREDIT,10/02/2015,"VENMO0           CASHOUT    105139971       CCD ID: 1264681992",200.00,
DEBIT,10/02/2015,"GARDEN OF EDEN #2 NEW YORK NY                10/01",-2.71,
DEBIT,10/02/2015,"Duane Reade 71 W 23RD NEW YORK NY    742873  10/02",-22.98,
CREDIT,09/30/2015,"Online Transfer from SAV ...9608 transaction#: 4908902195",400.00,
DEBIT,09/30/2015,"ATM WITHDRAWAL                       002597  09/30391 EASTE",-660.00,
DEBIT,09/29/2015,"KINGS ATLANTIC C-STORE BROOKLYN NY   035792  09/29",-25.60,
CREDIT,09/28/2015,"Online Transfer from SAV ...9608 transaction#: 4903398019",620.00,
DEBIT,09/28/2015,"TASZO ESPRESSO BAR NEW YORK NY               09/25",-6.25,
DEBIT,09/28/2015,"SUBWAY        03174810 NEW YORK NY           09/25",-6.52,
DEBIT,09/28/2015,"RITE AID STORE - 3978 BROOKLYN NY    494717  09/26",-3.47,
DEBIT,09/28/2015,"LANDR AUDIO INC. 5148409700 QC               09/26",-14.00,
DEBIT,09/28/2015,"THE VITAMIN SHOPPE  2 NEW YORK NY    875669  09/26",-5.38,
DEBIT,09/28/2015,"SEARS AUTO CNTR 6104 BROOKLYN NY             09/27",-2.17,
DEBIT,09/25/2015,"GIGSALAD 417-889-9909 MO                     09/24",-24.99,
DEBIT,09/25/2015,"H&M NEW YORK NY                      888275  09/25",-14.99,
DEBIT,09/24/2015,"NYCDOT PARKING METERS LONG IS CITY NY        09/23",-1.50,
DEBIT,09/24/2015,"BLINK MOTO #620 888-566-4223 NY              09/23",-15.68,
DEBIT,09/23/2015,"TRADER JOE'S # 558 BROOKLYN NY       793499  09/23",-48.42,
DEBIT,09/21/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        09/21",-20.00,
DEBIT,09/21/2015,"DUNKIN #334902     Q35 NEW YORK NY           09/20",-4.40,
DEBIT,09/21/2015,"IGK NEW YORK NY                              09/20",-4.49,
DEBIT,09/21/2015,"SQ *AMORINO CHELSEA New York NY              09/20",-5.50,
DEBIT,09/18/2015,"SQ *CAFE GRUMPY (CHELSE New York NY          09/17",-3.75,
DEBIT,09/18/2015,"NEW YORK IPIRP 407-629-4811 FL               09/17",-24.95,
DEBIT,09/18/2015,"THE HOME DEPOT 6175 NEW YORK NY      791598  09/18",-5.96,
DEBIT,09/17/2015,"012 GLOBAL 561-393-1005 FL                   09/16",-20.00,
DEBIT,09/17/2015,"TRADER JOE'S # 543 NEW YORK NY       228014  09/17",-21.26,
DEBIT,09/16/2015,"ROASTING PLANT COFFEE NEW YORK NY            09/15",-2.72,
DEBIT,09/16/2015,"SQ *THE ELK New York NY                      09/15",-3.75,
DEBIT,09/16/2015,"THE HOME DEPOT 6175 NEW YORK NY      236829  09/16",-8.64,
DEBIT,09/16/2015,"TRADER JOE'S # 543 NEW YORK NY       324517  09/16",-12.74,
DEBIT,09/16/2015,"AMISH MARKET OF TR NEW YORK NY       122953  09/16",-3.99,
DEBIT,09/15/2015,"J&R SYMPOSIUM LLC BROOKLYN NY                09/13",-13.05,
CREDIT,09/14/2015,"Online Transfer from SAV ...9608 transaction#: 4874718366",1300.00,
DEBIT,09/14/2015,"PAYPAL EBAY MARKTPLC 402-935-7733 NE         09/11",-8.30,
DEBIT,09/14/2015,"GARDEN OF EDEN #2 NEW YORK NY                09/11",-2.78,
DEBIT,09/14/2015,"Online Payment 4874724769 To CAPITAL ONE 09/14",-1465.55,
DEBIT,09/11/2015,"SQ *MADE MAN BARBER SHO New York NY          09/10",-26.87,
DEBIT,09/11/2015,"MO'S FORT GREENE BROOKLYN NY                 09/11",-30.13,
DEBIT,09/10/2015,"GARDEN OF EDEN #2 NEW YORK NY                09/09",-1.58,
DEBIT,09/09/2015,"Amazon Services-Kindl 866-321-8851 WA        09/09",-4.49,
DEBIT,09/09/2015,"SQ *CAFE GRUMPY FASHION New York NY          09/09",-3.75,
DEBIT,09/09/2015,"TRADER JOE'S # 543 NEW YORK NY       041466  09/09",-59.54,
CREDIT,09/08/2015,"Online Transfer from SAV ...9608 transaction#: 4863786090",945.64,
CREDIT,09/08/2015,"Chase QuickPay Electronic Transfer 4864792775 from ZAHIRA SOTO",160.00,
DEBIT,09/08/2015,"NYCDOT PARKING METERS LONG IS CITY NY        09/05",-1.00,
DEBIT,09/08/2015,"KINGS ATLANTIC C-STORE BROOKLYN NY   096688  09/05",-30.15,
DEBIT,09/08/2015,"NYCDOT PARKING METERS LONG IS CITY NY        09/05",-3.50,
DEBIT,09/08/2015,"NYCDOT PARKING METERS LONG IS CITY NY        09/05",-3.50,
DEBIT,09/08/2015,"Online Payment 4864577717 To National Grid 09/08",-18.97,
DEBIT,09/08/2015,"Online Payment 4864577713 To conEdison 09/08",-16.52,
DEBIT,09/08/2015,"Online Payment 4864591920 To CAPITAL ONE 09/08",-421.77,
DEBIT,09/03/2015,"BLINK MOTO #620 888-566-4223 NY              09/02",-30.31,
DEBIT,09/01/2015,"NYCDOT PARKING METERS LONG IS CITY NY        08/31",-0.50,
DEBIT,08/31/2015,"MT VIEW DELI & CATERERS MOUNT IVY NY         08/28",-2.00,
DEBIT,08/31/2015,"MCDONALD'S F1989 DICKSON CITY PA             08/29",-2.32,
DEBIT,08/31/2015,"#256 ITHACA FASTRA ITHACA NY                 08/29",-31.46,
DEBIT,08/31/2015,"WAL-MART #5240 ITHACA NY                     08/29",-0.91,
DEBIT,08/31/2015,"TRADER JOE'S # 558 BROOKLYN NY       343375  08/31",-103.88,
DEBIT,08/28/2015,"CARFAX VEHICLE HIS WWW.CARFAX.CO VA          08/27",-43.54,
CREDIT,08/27/2015,"Online Transfer from SAV ...9608 transaction#: 4840534968",450.00,
DEBIT,08/27/2015,"COLLEGETOWN BAGELS ITHACA NY                 08/26",-9.10,
DEBIT,08/27/2015,"LANDR AUDIO INC. 5148409700 QC               08/26",-14.00,
DEBIT,08/27/2015,"WITHDRAWAL 08/27",-900.00,
DEBIT,08/27/2015,"354 HAMILTON GA BROOKLYN NY                  08/27",-34.00,
DEBIT,08/26/2015,"GIGSALAD 417-889-9909 MO                     08/25",-24.99,
DEBIT,08/26/2015,"ZIPCAR INC. BOSTON MA                        08/24",-9.00,
DEBIT,08/26/2015,"VSC FIELD OFFICE PAYMENT    1009            CCD ID: 7001010394",-325.00,
DEBIT,08/26/2015,"GIGMASTERS.COM 866-342-9794 CT               08/25",-149.00,
DEBIT,08/24/2015,"Lumosity.com*12513732 877-7770502 CA         08/22",69.95,
CREDIT,08/24/2015,"Online Transfer from SAV ...9608 transaction#: 4835093907",700.00,
DEBIT,08/24/2015,"WAYNE A DEKORTE MOUNT ARLINGT NJ             08/22",-5.58,
DEBIT,08/24/2015,"MCDONALD'S F1989 DICKSON CITY PA             08/22",-7.83,
DEBIT,08/24/2015,"MCDONALD'S F1989 DICKSON CITY PA             08/22",-2.85,
DEBIT,08/24/2015,"WEGMANS 500 S. MEADOW ITHACA NY      360665  08/23",-18.91,
DEBIT,08/24/2015,"BLINK MOTO #620 888-566-4223 NY              08/23",-15.68,
DEBIT,08/21/2015,"SQ *MARKER COFFEE Brooklyn NY                08/20",-6.90,
DEBIT,08/20/2015,"STAPLES       00115741 NEW YORK NY           08/19",-32.05,
DEBIT,08/20/2015,"Staples, Inc BROOKLYN NY             789807  08/20",-12.02,
DEBIT,08/20/2015,"Staples, Inc BROOKLYN NY             848360  08/20",-3.94,
DEBIT,08/20/2015,"USPS 3508090327 BROOKLYN NY                  08/20",-28.50,
DEBIT,08/19/2015,"STAPLES       00153312 NEW YORK NY           08/18",-63.41,
DEBIT,08/19/2015,"STAPLES       00153312 NEW YORK NY           08/18",-36.93,
DEBIT,08/19/2015,"SQ *BIRCH COFFEE New York NY                 08/18",-12.81,
DEBIT,08/19/2015,"KMART 7749 NEW YORK NY                       08/19",-10.66,
DEBIT,08/18/2015,"B&H PHOTO STORE NEW YORK NY                  08/17",-13.39,
DEBIT,08/18/2015,"STAPLES       00107557 BROOKLYN NY           08/17",-46.34,
DEBIT,08/18/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY   228383  08/18",-29.99,
DEBIT,08/18/2015,"TRADER JOE'S # 543 NEW YORK NY       056040  08/18",-36.98,
CHECK,08/18/2015,"CHECK 1008 ",-200.00,1008
CREDIT,08/17/2015,"Online Transfer from SAV ...9608 transaction#: 4821784582",900.00,
DEBIT,08/17/2015,"CHIPOTLE 0481 NEW YORK NY                    08/14",-9.50,
DEBIT,08/17/2015,"BICYCLE ROOTS BROOKLYN NY                    08/15",-44.06,
DEBIT,08/17/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            08/16",-10.10,
DEBIT,08/17/2015,"Staples, Inc BROOKLYN NY             168110  08/17",-18.28,
DEBIT,08/14/2015,"MCDONALD'S F13508 BRONX NY                   08/12",-3.14,
DEBIT,08/14/2015,"GARDEN OF EDEN #2 NEW YORK NY                08/13",-2.29,
DEBIT,08/14/2015,"ARTURO'S NEW YORK NY                         08/13",-25.20,
DEBIT,08/13/2015,"STAPLES       00101931 NEW YORK NY           08/12",-6.18,
DEBIT,08/13/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        08/13",-20.00,
DEBIT,08/13/2015,"NYCDOT PARKING METERS LONG IS CITY NY        08/12",-1.00,
DEBIT,08/13/2015,"NYCDOT PARKING METERS LONG IS CITY NY        08/12",-0.50,
CHECK,08/13/2015,"CHECK 1006 ",-900.00,1006
CREDIT,08/12/2015,"Online Transfer from SAV ...9608 transaction#: 4810435655",1500.00,
DEBIT,08/12/2015,"STAPLES       00109538 NEW YORK NY           08/11",-12.54,
DEBIT,08/12/2015,"SQ *MARKER COFFEE Brooklyn NY                08/12",-7.00,
DEBIT,08/12/2015,"WITHDRAWAL 08/12",-300.00,
DEBIT,08/11/2015,"012 GLOBAL 561-393-1005 FL                   08/10",-20.00,
DEBIT,08/11/2015,"SQ *MARKER COFFEE Brooklyn NY                08/10",-3.50,
DEBIT,08/11/2015,"COMZONE NEW YORK NY                  708520  08/11",-18.42,
DEBIT,08/11/2015,"Staples, Inc NEW YORK NY             015912  08/11",-20.11,
DEBIT,08/11/2015,"Lumosity.com*12513732 877-7770502 CA         08/10",-69.95,
DEBIT,08/10/2015,"GARDEN OF EDEN #2 NEW YORK NY                08/07",-0.79,
DEBIT,08/10/2015,"SQ *L'IMPRIMERIE, LLC Brooklyn NY            08/08",-9.00,
DEBIT,08/07/2015,"GARDEN OF EDEN #2 NEW YORK NY                08/06",-2.15,
DEBIT,08/07/2015,"SQ *JOE PRO SHOP New York NY                 08/06",-3.50,
DEBIT,08/07/2015,"FIKA 7TH AVENUE NEW YORK NY                  08/06",-5.67,
DEBIT,08/07/2015,"SQ *MARKER COFFEE Brooklyn NY                08/07",-8.00,
DEBIT,08/07/2015,"TRADER JOE'S # 543 NEW YORK NY       538239  08/07",-16.34,
DEBIT,08/06/2015,"TRADER JOE'S # 543 NEW YORK NY       015851  08/06",-79.11,
CREDIT,08/05/2015,"Online Transfer from SAV ...9608 transaction#: 4798115236",550.00,
DEBIT,08/05/2015,"CHIPOTLE 1661 ITHACA NY                      08/04",-15.17,
DEBIT,08/05/2015,"Online Payment 4798119029 To CAPITAL ONE 08/05",-186.70,
DEBIT,08/05/2015,"Online Payment 4798119003 To CAPITAL ONE 08/05",-116.50,
DEBIT,08/05/2015,"Online Payment 4798119014 To conEdison 08/05",-19.99,
DEBIT,08/05/2015,"Online Payment 4798119019 To National Grid 08/05",-19.86,
DEBIT,08/04/2015,"Wal-Mart Super Center ITHACA NY              08/03",-4.29,
DEBIT,08/04/2015,"SQ *GIMME COFFEE CAYUGA Ithaca NY            08/04",-5.50,
DEBIT,08/03/2015,"SUBWAY        03166600 NEW YORK NY           07/31",-5.99,
DEBIT,08/03/2015,"FIKA 7TH AVENUE NEW YORK NY                  07/31",-4.53,
DEBIT,08/03/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        08/02",-20.00,
DEBIT,08/03/2015,"TRADER JOE'S # 543 NEW YORK NY       522062  08/01",-7.68,
DEBIT,08/03/2015,"SQ *MARKER COFFEE Brooklyn NY                08/02",-11.50,
DEBIT,07/30/2015,"SUBWAY        03166600 NEW YORK NY           07/29",-5.99,
DEBIT,07/27/2015,"ZIPCAR INC. 866-494-7227 MA                  07/24",-9.00,
DEBIT,07/27/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/25",-10.10,
DEBIT,07/27/2015,"LANDR AUDIO INC. 5148409700 QC               07/26",-14.00,
CHECK,07/24/2015,"CHECK 1004 ",-400.00,1004
DEBIT,07/24/2015,"BLINK MOTO #620 888-566-4223 NY              07/23",-15.68,
DEBIT,07/23/2015,"ZIPCAR INC. 866-494-7227 MA                  07/22",-16.18,
DEBIT,07/23/2015,"ATM WITHDRAWAL                       008235  07/23391 EASTE",-160.00,
DEBIT,07/23/2015,"TRADER JOE'S # 558 BROOKLYN NY       534077  07/23",-47.16,
CHECK,07/23/2015,"CHECK 1003 ",-400.00,1003
CHECK,07/23/2015,"CHECK 1005 ",-400.00,1005
DEBIT,07/22/2015,"SQ *MARKER COFFEE Brooklyn NY                07/21",-4.02,
DEBIT,07/22/2015,"CIRCLE LINE SIGHTSEEIN NEW YORK NY           07/21",-35.00,
CREDIT,07/21/2015,"Online Transfer from SAV ...9608 transaction#: 4765912735",1400.00,
DEBIT,07/20/2015,"SQ *ELEVEN 36 GOSQ.COM Brooklyn NY           07/17",-4.25,
DEBIT,07/20/2015,"SQ *BIRCH COFFEE New York NY                 07/17",-4.00,
DEBIT,07/20/2015,"BREUKELEN COFFEE HOUSE BROOKLYN NY           07/18",-7.00,
DEBIT,07/20/2015,"RITE AID CORP. BROOKLYN NY           581448  07/20",-3.15,
DEBIT,07/17/2015,"GARDEN OF EDEN #2 NEW YORK NY                07/16",-2.76,
DEBIT,07/17/2015,"FIKA 7TH AVENUE NEW YORK NY                  07/16",-11.01,
DEBIT,07/17/2015,"SQ *MARKER COFFEE Brooklyn NY                07/17",-3.50,
DEBIT,07/17/2015,"TRADER JOE'S # 543 NEW YORK NY       935347  07/17",-8.98,
DEBIT,07/17/2015,"KEY FOOD 1690 BROOKLYN NY            458516  07/17",-2.99,
DEBIT,07/16/2015,"ZIPCAR INC. 866-494-7227 MA                  07/15",-62.94,
DEBIT,07/16/2015,"TRADER JOE'S # 543 NEW YORK NY       732256  07/16",-45.54,
DEBIT,07/15/2015,"SQ *MARKER COFFEE Brooklyn NY                07/15",-2.00,
DEBIT,07/14/2015,"SQ *MARKER COFFEE Brooklyn NY                07/14",-3.50,
CREDIT,07/13/2015,"Online Transfer from SAV ...9608 transaction#: 4748401248",1700.00,
DEBIT,07/13/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/10",-3.27,
DEBIT,07/13/2015,"SUBWAY        03166600 NEW YORK NY           07/10",-5.99,
DEBIT,07/13/2015,"LULA BAGEL BROOKLYN NY                       07/11",-9.75,
DEBIT,07/13/2015,"SQ *LITTLE ZELDA Brooklyn NY                 07/11",-6.94,
DEBIT,07/13/2015,"Online Payment 4748404499 To CAPITAL ONE 07/13",-116.50,
DEBIT,07/13/2015,"Online Payment 4748404521 To CAPITAL ONE 07/13",-1128.23,
DEBIT,07/13/2015,"Online Payment 4748404518 To National Grid 07/13",-18.45,
DEBIT,07/13/2015,"Online Payment 4748404508 To conEdison 07/13",-18.01,
DEBIT,07/13/2015,"SQ *THE ELK New York NY                      07/12",-11.25,
DEBIT,07/10/2015,"GARDEN OF EDEN #2 NEW YORK NY                07/09",-2.38,
DEBIT,07/10/2015,"CARACAS AREPA BAR BROOK BROOKLYN NY          07/09",-31.00,
DEBIT,07/09/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/08",-3.57,
DEBIT,07/09/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           07/09",-29.99,
DEBIT,07/09/2015,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   733602  07/09",-27.21,
DEBIT,07/08/2015,"SQUARESPACE INC. 6465803456 NY               07/07",-86.40,
DEBIT,07/08/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/07",-6.54,
DEBIT,07/08/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/07",-3.57,
DEBIT,07/07/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/06",-7.43,
DEBIT,07/07/2015,"BEEP BEEP AUTO SCHOO RUSHROADTESTS NY        07/06",-80.00,
DEBIT,07/07/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            07/06",-5.35,
DEBIT,07/06/2015,"AROMA ESPRESSO BAR - S NEW YORK NY           07/04",-5.72,
DEBIT,07/06/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           07/06",-37.08,
DEBIT,07/03/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        07/03",-20.00,
CREDIT,07/02/2015,"Online Transfer from SAV ...9608 transaction#: 4727889766",300.00,
DEBIT,07/02/2015,"LULA BAGEL BROOKLYN NY                       06/30",-9.75,
DEBIT,07/02/2015,"DUNKIN #348270     Q35 BROOKLYN NY           07/01",-2.99,
DEBIT,07/01/2015,"FRANKLIN PARK BROOKLYN NY                    06/29",-29.90,
DEBIT,06/30/2015,"FIKA 7TH AVENUE NEW YORK NY                  06/29",-8.50,
DEBIT,06/30/2015,"NON-CHASE ATM WITHDRAW               312137  06/30625 ATLAN",-63.00,
DEBIT,06/30/2015,"NON-CHASE ATM FEE-WITH",-2.00,
DEBIT,06/29/2015,"LANDR AUDIO INC. 5148409700 QC               06/26",-14.00,
DEBIT,06/29/2015,"ZIPCAR INC. 866-494-7227 MA                  06/26",-76.21,
DEBIT,06/29/2015,"GARDEN OF EDEN #2 NEW YORK NY                06/26",-2.38,
DEBIT,06/29/2015,"ZIPCAR INC. 866-494-7227 MA                  06/26",-9.00,
DEBIT,06/29/2015,"KINGS ATLANTIC C-STORE BROOKLYN NY   081231  06/28",-33.68,
DEBIT,06/29/2015,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   406463  06/29",-10.88,
DEBIT,06/26/2015,"OXIDO NEW YORK NY                            06/24",-9.42,
DEBIT,06/26/2015,"SQ *BIRCH COFFEE New York NY                 06/25",-11.56,
DEBIT,06/26/2015,"TRADER JOE'S # 543 NEW YORK NY       815309  06/26",-53.46,
DEBIT,06/25/2015,"ST IS FERY AUBONPAIN STATEN ISLAND NY        06/24",-2.19,
DEBIT,06/24/2015,"ZIPCAR INC. 866-494-7227 MA                  06/23",-25.00,
DEBIT,06/24/2015,"BLINK MOTO #620 888-566-4223 NY              06/23",-15.68,
CREDIT,06/23/2015,"Online Transfer from SAV ...9608 transaction#: 4709305835",350.00,
DEBIT,06/23/2015,"PARK DRUGS BROOKLYN NY                       06/22",-22.69,
DEBIT,06/23/2015,"WWW HOVER COM 416-538-5498 MS                06/22",-18.17,
DEBIT,06/22/2015,"Irving Farm Coffee Roas New York NY          06/19",-3.75,
DEBIT,06/22/2015,"KINGS ATLANTIC C-STORE BROOKLYN NY   061009  06/20",-38.21,
DEBIT,06/22/2015,"6 UNION SQ AUBONPAIN 7 NEW YORK NY           06/20",-1.19,
DEBIT,06/19/2015,"LULA BAGEL BROOKLYN NY                       06/17",-6.50,
DEBIT,06/19/2015,"BARBONCINO BROOKLYN NY                       06/17",-15.00,
DEBIT,06/19/2015,"GARDEN OF EDEN #2 NEW YORK NY                06/18",-0.79,
DEBIT,06/18/2015,"GARDEN OF EDEN #2 NEW YORK NY                06/17",-1.58,
DEBIT,06/18/2015,"SQ *MADE MAN BARBER SHO New York NY          06/17",-27.97,
DEBIT,06/18/2015,"SQ *MADE MAN BARBER SHO New York NY          06/17",-4.48,
DEBIT,06/18/2015,"TRADER JOE'S # 543 NEW YORK NY       560046  06/18",-55.52,
DEBIT,06/17/2015,"BEST BUY MHT  00025189 BROOKLYN NY           06/16",16.32,
DEBIT,06/17/2015,"APL* ITUNES.COM/BILL 866-712-7753 CA         06/17",-5.43,
DEBIT,06/17/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            06/16",-7.42,
DEBIT,06/16/2015,"PARK DRUGS BROOKLYN NY                       06/15",-40.00,
DEBIT,06/16/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           06/16",-21.76,
DEBIT,06/15/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        06/13",-20.00,
DEBIT,06/15/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           06/13",-5.11,
DEBIT,06/15/2015,"BEST BUY MOBILE #2518 BROOKLYN NY            06/13",-16.32,
DEBIT,06/15/2015,"RITE AID CORP. BROOKLYN NY           480930  06/15",-11.49,
DEBIT,06/12/2015,"GARDEN OF EDEN #2 NEW YORK NY                06/11",-0.69,
DEBIT,06/12/2015,"TRADER JOE'S # 543 NEW YORK NY       783910  06/12",-4.99,
DEBIT,06/11/2015,"B&H PHOTO MOTO NEW YORK NY                   06/10",64.24,
CREDIT,06/11/2015,"Online Transfer from SAV ...9608 transaction#: 4685443096",400.00,
DEBIT,06/11/2015,"SUBWAY        03166600 NEW YORK NY           06/10",-5.99,
DEBIT,06/11/2015,"B&H PHOTO STORE NEW YORK NY                  06/10",-64.24,
DEBIT,06/11/2015,"TRADER JOE'S # 543 NEW YORK NY       341784  06/11",-50.77,
DEBIT,06/10/2015,"LULA BAGEL BROOKLYN NY                       06/08",-9.65,
DEBIT,06/09/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           06/09",-7.58,
